날짜,두바이 디저트,아인슈페너,타르트,휘낭시에,티라미수
2023-11-01,0.0107,1.09456,1.16641,1.5226,0.40281
2023-11-02,0.01452,1.31776,1.14501,1.63802,0.38294
2023-11-03,0.01299,1.18781,1.10603,1.62732,0.37071
2023-11-04,0.01222,1.45075,0.98908,1.47674,0.33861
2023-11-05,0.01146,1.39419,1.05558,1.53866,0.40969
2023-11-06,0.01987,0.97685,1.05405,1.67624,0.35313
2023-11-07,0.0191,1.07163,1.0594,1.80313,0.36001
2023-11-08,0.01375,1.10603,1.18705,1.83982,0.33249
2023-11-09,0.01758,1.43088,1.12437,2.01485,0.32791
2023-11-10,0.00993,1.09685,1.06628,2.39856,0.29657
2023-11-11,0.01146,1.16871,1.0036,2.1876,0.35925
2023-11-12,0.0084,1.2031,1.04411,1.73816,0.3516
2023-11-13,0.01834,0.93022,1.01965,2.09053,0.386
2023-11-14,0.01528,0.96921,1.13431,1.7351,0.34014
2023-11-15,0.01375,1.04106,1.0915,1.54019,0.3409
2023-11-16,0.0191,1.23826,1.03341,1.40184,0.41504
2023-11-17,0.01375,1.03418,1.10144,1.50732,0.39288
2023-11-18,0.02063,1.13049,1.0166,1.43012,0.40434
2023-11-19,0.00764,1.16106,1.00131,1.27954,0.44868
2023-11-20,0.01758,0.99367,1.07622,1.62656,0.39517
2023-11-21,0.02445,1.01354,1.14577,1.43776,0.3753
2023-11-22,0.01987,1.01736,1.1259,1.50961,0.37453
2023-11-23,0.02904,1.31241,1.16641,1.44464,0.37148
2023-11-24,0.01605,1.03723,1.12284,1.40413,0.37835
2023-11-25,0.01299,1.20769,1.26578,1.36209,0.40205
2023-11-26,0.01758,1.21762,1.51802,1.32769,0.45097
2023-11-27,0.01987,0.8813,1.16106,1.31164,0.38523
2023-11-28,0.02751,1.0059,1.25661,1.38578,0.43568
2023-11-29,0.01375,0.95315,1.13354,1.35521,0.37759
2023-11-30,0.01299,1.16259,1.14348,1.3789,0.38065
2023-12-01,0.00917,0.98144,1.23979,1.32846,0.35619
2023-12-02,0.00917,1.24973,1.35903,1.22527,0.38906
2023-12-03,0.00764,1.30323,1.37508,1.22833,0.43645
2023-12-04,0.02293,0.93634,1.32846,1.21533,0.37988
2023-12-05,0.01452,1.02883,1.81001,1.27954,0.39823
2023-12-06,0.01146,1.0059,1.27342,1.3361,0.37606
2023-12-07,0.0191,1.31164,1.43241,1.40336,0.42116
2023-12-08,0.00917,1.06781,1.21686,1.33075,0.42804
2023-12-09,0.01146,1.27266,1.3598,1.2245,0.39593
2023-12-10,0.01528,1.32081,1.39878,1.27724,0.38141
2023-12-11,0.0191,0.90882,1.23291,1.42094,0.43262
2023-12-12,0.0214,1.03036,1.49967,1.37432,0.44027
2023-12-13,0.01222,1.07316,1.41865,1.36591,0.41581
2023-12-14,0.01146,1.44235,1.36209,1.40948,0.4074
2023-12-15,0.02063,1.08845,1.28642,1.39649,0.41275
2023-12-16,0.0107,1.20463,1.43852,1.27419,0.40358
2023-12-17,0.01375,1.46146,1.45458,1.26272,0.43874
2023-12-18,0.02369,0.8622,1.35521,1.3361,0.38906
2023-12-19,0.0214,0.98984,1.31011,1.51496,0.42269
2023-12-20,0.01605,0.95468,1.25814,1.41559,0.43645
2023-12-21,0.01605,1.2138,1.37203,1.46834,0.49836
2023-12-22,0.00764,0.94857,1.32769,1.3682,0.47543
2023-12-23,0.01452,1.04411,1.56388,1.33534,0.54269
2023-12-24,0.01222,1.3147,1.70147,1.52184,0.68869
2023-12-25,0.00917,1.3361,1.5249,1.27801,0.59161
2023-12-26,0.01452,1.04182,1.21686,1.2375,0.42116
2023-12-27,0.01605,0.99596,1.24896,1.28336,0.41046
2023-12-28,0.01605,1.32158,1.11826,1.37814,0.42192
2023-12-29,0.01452,1.11979,1.12972,1.2933,0.39593
2023-12-30,0.00917,1.17635,1.11596,1.20539,0.45555
2023-12-31,0.00687,1.30018,1.33304,1.08615,0.506
2024-01-01,0.00917,1.2803,1.06169,1.16488,0.40511
2024-01-02,0.01834,0.80487,1.1259,1.25584,0.33249
2024-01-03,0.01758,0.92411,1.12667,1.37967,0.36536
2024-01-04,0.02216,1.23138,1.19622,1.35521,0.36918
2024-01-05,0.0107,1.06552,1.15112,1.35521,0.37453
2024-01-06,0.01375,1.31393,1.61586,1.2933,0.40434
2024-01-07,0.00764,1.31317,1.36285,1.26807,0.37759
2024-01-08,0.01528,0.89659,1.06322,1.25355,0.36383
2024-01-09,0.01528,1.03341,1.16947,1.32846,0.36077
2024-01-10,0.01452,1.07927,1.13125,1.38043,0.36995
2024-01-11,0.01222,1.29865,1.14501,1.39725,0.32714
2024-01-12,0.0214,1.12667,1.14425,1.31546,0.34472
2024-01-13,0.01299,1.42553,1.24438,1.21839,0.44333
2024-01-14,0.01452,1.47063,1.20922,1.26654,0.45555
2024-01-15,0.00917,0.96691,1.16412,1.23138,0.34854
2024-01-16,0.01528,0.97761,1.171,1.30705,0.34014
2024-01-17,0.00993,1.06628,1.21839,1.32387,0.37759
2024-01-18,0.01299,1.37432,1.20845,1.42859,0.38141
2024-01-19,0.01987,1.13125,1.2375,1.47063,0.34625
2024-01-20,0.00917,1.27495,1.14272,1.32999,0.39976
2024-01-21,0.01375,1.41559,1.27266,1.33304,0.40358
2024-01-22,0.0107,0.97226,1.14501,1.42018,0.34243
2024-01-23,0.02675,0.96615,1.10908,1.38349,0.42651
2024-01-24,0.00917,1.08921,1.11214,1.45075,0.36077
2024-01-25,0.01987,1.21915,1.16794,1.46757,0.34319
2024-01-26,0.0214,1.05787,1.14195,1.4584,0.38523
2024-01-27,0.02675,1.29253,1.16412,1.45687,0.39976
2024-01-28,0.0191,1.55394,1.15953,1.36591,0.40358
2024-01-29,0.00993,0.96156,1.15418,1.50273,0.35542
2024-01-30,0.01605,1.02883,1.17176,1.51802,0.519
2024-01-31,0.0214,1.15112,1.02348,1.48133,0.38906
2024-02-01,0.02063,1.30094,1.15112,1.63802,0.37453
2024-02-02,0.01299,1.0808,1.12819,1.53942,0.37912
2024-02-03,0.01758,1.16641,1.22297,1.43165,0.36995
2024-02-04,0.0191,1.26119,1.19546,1.54248,0.64894
2024-02-05,0.01528,0.86678,1.09762,1.54248,0.373
2024-02-06,0.02675,0.85608,1.07163,1.59828,0.37224
2024-02-07,0.02522,0.95851,1.03647,1.58299,0.34854
2024-02-08,0.0214,1.24361,1.05252,1.58987,0.32332
2024-02-09,0.01375,1.21304,0.98067,1.40031,0.36995
2024-02-10,0.01758,1.34069,0.93787,1.25814,0.37988
2024-02-11,0.02828,1.47139,0.98602,1.31776,0.39441
2024-02-12,0.02063,1.37355,1.12896,1.32005,0.45173
2024-02-13,0.02981,0.90729,1.06628,1.49891,0.42345
2024-02-14,0.03286,0.98144,1.10985,1.81001,0.43492
2024-02-15,0.02522,1.15036,1.07622,1.5035,0.37988
2024-02-16,0.02369,1.04106,1.01354,1.40566,0.40129
2024-02-17,0.03286,1.31623,1.02883,1.28565,0.55186
2024-02-18,0.0191,1.1924,1.09685,1.27342,0.54728
2024-02-19,0.0428,0.8836,1.10221,1.38043,0.45326
2024-02-20,0.03057,0.91723,1.02883,1.49662,0.39058
2024-02-21,0.04127,1.02042,1.29177,1.36515,0.44791
2024-02-22,0.02981,1.30247,1.08921,1.40871,0.40052
2024-02-23,0.03133,1.05864,1.40871,1.7909,0.38218
2024-02-24,0.02828,1.28795,1.35521,1.59598,0.42498
2024-02-25,0.01452,1.27266,1.21686,1.30705,0.39593
2024-02-26,0.02828,0.94016,1.07775,1.43165,0.38141
2024-02-27,0.02828,0.96233,1.13125,1.58528,0.35925
2024-02-28,0.02063,1.0059,1.14425,1.60898,0.31262
2024-02-29,0.01987,1.23979,0.9822,1.39572,0.32791
2024-03-01,0.0321,1.31928,1.02424,1.25737,0.39593
2024-03-02,0.22548,1.29024,1.05558,1.31011,0.4181
2024-03-03,0.1414,1.12972,1.0594,1.64872,0.38523
2024-03-04,0.04662,0.80105,0.91341,1.22909,0.30345
2024-03-05,0.03516,0.8622,0.99978,1.38731,0.3195
2024-03-06,0.04203,0.98067,1.03341,1.39878,0.31644
2024-03-07,0.02981,0.96691,1.02577,1.44158,0.3088
2024-03-08,0.0214,0.99367,1.11673,1.51114,0.30574
2024-03-09,0.01987,1.24132,1.36209,2.73412,0.40587
2024-03-10,0.02522,1.28795,1.18246,1.52566,0.386
2024-03-11,0.05809,0.89506,1.16259,1.53866,0.3065
2024-03-12,0.0749,0.92182,1.18781,1.57993,0.28969
2024-03-13,0.04203,1.01278,1.17253,1.65484,0.33631
2024-03-14,0.02828,0.97532,1.35674,1.94683,0.34778
2024-03-15,0.01758,1.05252,1.15953,1.5142,0.32561
2024-03-16,0.01987,1.23903,1.07698,1.44846,0.33479
2024-03-17,0.01605,1.26272,1.64108,1.37508,0.37453
2024-03-18,0.01528,0.88895,1.07927,1.32846,0.32179
2024-03-19,0.02216,0.86296,1.17482,1.3919,0.33173
2024-03-20,0.03592,0.86067,1.1259,1.5356,0.30268
2024-03-21,0.01987,0.96156,1.17711,1.49967,0.29963
2024-03-22,0.0191,0.92334,1.16412,1.49738,0.3409
2024-03-23,0.02216,1.16947,1.0594,1.4133,0.38294
2024-03-24,0.02675,1.09762,1.30629,1.27419,0.33479
2024-03-25,0.0214,0.81404,1.06399,1.37738,0.30956
2024-03-26,0.02063,0.8599,1.08998,1.40795,0.3967
2024-03-27,0.01222,0.90806,1.12514,1.45458,0.29733
2024-03-28,0.00687,0.9264,1.11138,1.38502,0.3195
2024-03-29,0.02216,0.93252,1.06093,1.39572,0.29963
2024-03-30,0.02063,1.16794,1.02042,1.25737,0.31797
2024-03-31,0.01222,1.10297,1.025,1.28489,0.39746
2024-04-01,0.0214,0.81481,0.96921,1.2375,0.31568
2024-04-02,0.0107,0.88207,1.01736,1.3575,0.3065
2024-04-03,0.02216,0.86449,1.06857,1.31852,0.31568
2024-04-04,0.02751,0.90959,1.05176,1.3682,0.31797
2024-04-05,0.0191,1.00513,1.0487,1.31393,0.32561
2024-04-06,0.0191,1.18246,1.05329,1.30858,0.34396
2024-04-07,0.02063,1.13584,1.01583,1.24743,0.32944
2024-04-08,0.02598,0.88054,1.03341,1.25661,0.27746
2024-04-09,0.02904,1.0059,1.05099,1.36973,0.29427
2024-04-10,0.02063,1.25355,0.98679,1.2803,0.31873
2024-04-11,0.01758,0.8943,1.07698,1.33228,0.26294
2024-04-12,0.01375,1.18629,1.10679,1.32158,0.28357
2024-04-13,0.01452,1.34374,0.89812,1.18934,0.31033
2024-04-14,0.01681,1.2268,0.92029,1.10373,0.33402
2024-04-15,0.01528,0.8943,0.96386,1.20081,0.26981
2024-04-16,0.29045,0.95086,1.15495,1.32234,0.26676
2024-04-17,0.03133,0.95392,1.06628,1.34145,0.26064
2024-04-18,0.02293,1.01507,1.05482,1.31241,0.27899
2024-04-19,0.01758,0.98449,1.01278,1.34604,0.28052
2024-04-20,0.02445,1.22833,1.19775,1.32234,0.29427
2024-04-21,0.02216,1.20081,1.29788,1.2589,0.34243
2024-04-22,0.01758,0.81481,1.04029,1.28565,0.25911
2024-04-23,0.0214,0.9478,1.13125,1.47445,0.30345
2024-04-24,0.03745,0.87748,1.06399,1.33916,0.24765
2024-04-25,0.0191,0.90118,1.04182,1.41101,0.27822
2024-04-26,0.03821,0.96921,1.03112,1.3789,0.25071
2024-04-27,0.02828,1.10756,1.0059,1.20387,0.25988
2024-04-28,0.03516,1.08845,0.97532,1.17023,0.27669
2024-04-29,0.03745,0.86372,1.07622,1.21992,0.28892
2024-04-30,0.02522,0.94475,1.00972,1.25584,0.25147
2024-05-01,0.0191,1.15953,0.97761,1.2826,0.25835
2024-05-02,0.02751,0.88436,1.02195,1.30858,0.24765
2024-05-03,0.02063,0.86984,0.94169,1.24514,0.28052
2024-05-04,0.01681,1.06934,0.8813,1.14807,0.25223
2024-05-05,0.49148,1.20234,0.96921,1.23291,0.34166
2024-05-06,1.95982,1.1259,1.06246,1.25584,0.31491
2024-05-07,2.77234,0.75748,1.08768,1.27724,0.27746
2024-05-08,2.02938,0.80258,1.09685,1.44617,0.31491
2024-05-09,1.54095,0.81328,1.06628,1.41942,0.29886
2024-05-10,1.52643,0.93099,0.99519,1.33304,0.28128
2024-05-11,2.30608,0.95698,0.99214,1.23826,0.31109
2024-05-12,2.69896,1.04259,1.03036,1.31928,0.32791
2024-05-13,2.63093,0.74907,1.13202,1.52948,0.25682
2024-05-14,3.08573,1.0938,1.17711,1.56235,0.26141
2024-05-15,6.55517,1.31776,1.08539,1.43394,0.2744
2024-05-16,6.83339,0.83544,1.06552,1.39649,0.3065
2024-05-17,7.97306,0.94169,0.96615,1.40719,0.2744
2024-05-18,10.78591,1.17788,0.90882,1.30476,0.25071
2024-05-19,12.61809,1.2031,0.96538,1.22833,0.31185
2024-05-20,10.8012,0.79493,0.97838,1.39496,0.24077
2024-05-21,10.205,0.82551,1.03265,1.31393,0.30421
2024-05-22,10.3464,0.88666,1.04641,1.34298,0.31644
2024-05-23,10.61087,0.90882,1.0273,1.30018,0.32867
2024-05-24,10.34029,0.86678,1.00437,1.38426,0.25911
2024-05-25,12.01806,0.96768,0.89736,1.22068,0.27287
2024-05-26,13.57278,1.03341,1.02195,1.16641,0.29351
2024-05-27,11.5434,0.81098,1.02118,1.29024,0.26981
2024-05-28,12.1266,0.86678,1.08768,1.3361,0.27134
2024-05-29,12.67083,0.87672,1.0059,1.40107,0.28052
2024-05-30,13.37251,0.85608,0.95774,1.42859,0.27669
2024-05-31,13.05148,0.94016,0.99978,1.37738,0.29427
2024-06-01,17.25853,1.01813,0.91799,1.28412,0.33479
2024-06-02,24.2341,1.04411,0.89659,1.18323,0.31644
2024-06-03,26.29941,0.74219,0.97379,1.2482,0.30115
2024-06-04,25.79264,0.77582,0.88742,1.18476,0.2958
2024-06-05,23.75791,0.85608,0.87137,1.26654,0.31491
2024-06-06,24.89681,1.05482,0.85532,1.14042,0.30192
2024-06-07,22.03198,0.95163,0.87137,1.1496,0.32561
2024-06-08,21.85617,1.28871,0.98067,1.08386,0.35313
2024-06-09,22.22154,1.18399,0.92258,1.13737,0.33173
2024-06-10,20.79142,0.81481,0.8729,1.05787,0.29657
2024-06-11,20.44669,0.86372,0.90347,1.20539,0.34243
2024-06-12,20.02629,0.90347,0.93405,1.27495,0.35084
2024-06-13,20.82352,0.83239,0.85837,1.2138,0.35772
2024-06-14,20.12566,0.8492,0.86372,1.27495,0.39288
2024-06-15,20.23114,1.10221,1.03188,1.21762,0.46396
2024-06-16,19.67698,1.07927,1.04717,1.09074,0.43797
2024-06-17,18.66878,0.84003,0.9929,1.19164,0.43721
2024-06-18,19.18778,0.83621,0.97303,1.2245,0.44944
2024-06-19,17.47714,0.90729,0.97991,1.3361,0.45632
2024-06-20,17.04375,0.8706,1.14654,1.23673,0.40205
2024-06-21,15.9102,0.83315,1.09991,1.23444,0.44868
2024-06-22,19.05249,0.98526,1.22145,1.09762,0.50218
2024-06-23,19.84131,1.0938,1.34374,1.03571,0.49912
2024-06-24,18.85834,0.77506,1.17023,1.22374,0.44791
2024-06-25,18.87745,0.86296,1.22374,1.34909,0.50982
2024-06-26,24.34952,0.8622,1.0915,1.31164,0.58015
2024-06-27,25.23083,0.82016,1.10756,1.29406,0.53581
2024-06-28,25.54422,0.8492,0.97991,1.38043,0.50677
2024-06-29,55.74724,0.91952,0.96003,1.22297,0.55645
2024-06-30,45.8969,1.06017,1.09762,1.16488,0.61301
2024-07-01,38.17302,0.67493,0.98679,1.22221,0.43186
2024-07-02,35.86311,0.70932,1.02348,1.29482,0.48231
2024-07-03,36.08478,0.80258,0.96538,1.304,0.48307
2024-07-04,43.45323,0.81404,1.05711,1.19393,0.4502
2024-07-05,42.90442,0.85226,1.038,1.22145,0.43339
2024-07-06,59.14636,0.96921,0.92564,1.11138,0.50218
2024-07-07,94.38193,1.03341,0.92029,1.038,0.56792
2024-07-08,100,0.75977,0.98755,1.3361,0.46396
2024-07-09,91.98871,0.81633,1.00819,1.47751,0.47849
2024-07-10,61.77194,0.86296,1.00207,1.27572,0.47314
2024-07-11,53.01158,0.89889,0.98984,1.26272,0.41657
2024-07-12,48.58822,0.785,0.93863,1.37355,0.44409
2024-07-13,45.14706,1.01889,0.92182,1.16565,0.47696
2024-07-14,44.66169,1.02348,0.99137,1.19087,0.49836
2024-07-15,37.81682,0.75824,0.90118,1.25355,0.48307
2024-07-16,36.72684,0.74143,0.95545,1.32005,0.47314
2024-07-17,38.35646,1.81688,0.96921,1.31241,0.43492
2024-07-18,37.76638,1.27113,0.9371,1.37508,0.40205
2024-07-19,37.49273,1.15265,0.85379,1.32846,0.39517
2024-07-20,36.94469,1.74656,0.91035,1.17253,0.44333
2024-07-21,37.74956,1.09685,0.90882,1.17941,0.46396
2024-07-22,34.91989,0.78729,1.557,1.21839,0.36689
2024-07-23,33.22301,0.96003,1.00819,1.26425,0.38218
2024-07-24,31.97786,1.00666,1.0594,1.27495,0.34778
2024-07-25,30.38799,0.86755,1.19469,1.22603,0.3409
2024-07-26,29.26743,0.84003,1.10373,2.06912,0.31415
2024-07-27,32.87446,0.97761,1.0036,2.15855,0.3967
2024-07-28,31.06521,1.03723,0.93787,1.74351,0.39211
2024-07-29,29.92478,0.76054,0.88513,1.49585,0.32867
2024-07-30,25.95927,0.84232,0.89812,1.33534,0.81481
2024-07-31,24.70495,0.85608,0.87978,1.32922,0.54804
2024-08-01,29.62668,0.78729,0.8706,1.25966,0.4074
2024-08-02,31.03846,0.85837,0.76818,1.20387,0.36689
2024-08-03,30.77934,0.97838,1.1603,1.16183,0.39058
2024-08-04,32.64362,0.94628,0.83391,0.95086,0.36307
2024-08-05,28.42434,0.71391,0.81939,1.02195,0.30115
2024-08-06,29.3538,0.7934,0.85073,1.20081,0.35084
2024-08-07,28.32956,0.7957,0.92029,1.49127,0.36536
2024-08-08,28.08038,0.79722,0.89965,1.24438,0.35007
2024-08-09,25.48154,0.83544,0.90271,1.16794,0.32791
2024-08-10,25.65352,0.97456,1.05864,1.0701,0.36077
2024-08-11,26.77102,1.0059,0.91723,1.09074,0.40434
2024-08-12,25.08484,0.75595,0.91723,1.11979,0.32561
2024-08-13,25.87825,0.80869,0.92717,1.24591,0.32332
2024-08-14,23.37955,0.80334,0.90729,1.14654,0.32332
2024-08-15,24.99923,1.04411,0.89965,1.08004,0.32408
2024-08-16,21.64979,0.86755,0.95468,1.12055,0.28969
2024-08-17,23.43076,0.95392,0.98602,1.11596,0.31185
2024-08-18,23.89243,0.91035,0.91647,1.77714,0.36918
2024-08-19,21.6368,0.65123,0.99137,1.17711,0.32714
2024-08-20,20.4979,0.7162,0.96844,1.38884,0.31262
2024-08-21,20.10196,0.76894,0.97456,1.32616,0.34319
2024-08-22,19.85813,0.81098,0.98144,1.87268,0.34319
2024-08-23,19.39493,0.83162,0.88283,1.56312,0.34854
2024-08-24,19.59901,0.97761,0.98144,1.35827,0.37683
2024-08-25,18.79719,1.01278,0.91952,1.3017,0.34472
2024-08-26,17.27611,0.76359,0.98602,1.24208,0.32561
2024-08-27,17.70798,0.93481,1.07316,1.39954,0.34702
2024-08-28,17.88837,0.85455,0.95774,1.47139,0.75901
2024-08-29,16.96425,0.79264,0.96921,1.3682,0.55951
2024-08-30,17.94493,0.84309,1.01736,1.29406,0.48078
2024-08-31,18.20481,1.28947,1.17711,1.18934,0.59008
2024-09-01,17.5337,1.08921,1.20692,1.19546,0.36536
2024-09-02,16.33671,0.76283,1.17558,1.3147,0.34319
2024-09-03,16.52169,0.88207,1.00131,1.3705,0.35925
2024-09-04,15.92472,0.73684,0.95086,1.25049,0.34931
2024-09-05,16.03402,0.77582,0.99902,1.50579,0.33096
2024-09-06,15.99581,0.80869,1.00972,1.34833,0.35619
2024-09-07,17.28987,1.00207,1.05252,1.17864,0.38218
2024-09-08,17.91512,1.06169,1.00513,1.23062,0.43186
2024-09-09,15.28648,0.7399,0.97532,1.26196,0.36307
2024-09-10,13.79674,0.73455,0.98373,1.37279,0.29963
2024-09-11,13.98018,0.75671,1.01201,1.42171,0.28128
2024-09-12,13.95114,0.8041,1.0036,1.43012,0.31033
2024-09-13,13.02549,0.76665,0.89659,1.50197,0.32561
2024-09-14,14.84697,0.99672,0.9608,1.23826,0.34396
2024-09-15,14.78276,1.13125,0.9501,1.1259,0.34243
2024-09-16,12.68077,1.16183,0.82321,1.03112,0.34702
2024-09-17,12.63185,1.34527,0.92334,0.95392,0.35237
2024-09-18,11.2323,1.15953,0.87672,1.05329,0.30345
2024-09-19,10.09493,0.81557,0.85608,1.12361,0.31033
2024-09-20,9.72421,0.78805,0.92564,1.25814,0.29122
2024-09-21,10.64909,0.98144,0.93863,1.16183,0.33861
2024-09-22,9.57669,1.03723,0.97838,1.15036,0.35772
2024-09-23,8.80239,0.70703,0.8836,1.22603,0.29657
2024-09-24,8.28874,0.77659,0.98832,1.21533,0.28128
2024-09-25,8.0816,0.81863,0.98679,1.23903,0.34243
2024-09-26,8.18555,0.82551,1.1152,1.26807,0.28587
2024-09-27,7.71623,0.82474,0.98144,1.25355,0.29733
2024-09-28,8.23065,0.98144,0.93175,1.01278,0.27058
2024-09-29,7.95013,1.00055,1.03494,1.03418,0.32944
2024-09-30,6.77989,0.83009,0.98908,1.171,0.373
2024-10-01,7.04971,0.9822,1.02577,1.11979,0.506
2024-10-02,6.41147,0.77964,0.95315,1.10832,0.63442
2024-10-03,6.8311,1.02424,1.03494,1.0487,0.61454
2024-10-04,6.22649,0.83697,0.98908,1.10985,0.50677
2024-10-05,6.5888,0.93252,0.97532,1.05482,0.55492
2024-10-06,6.89684,0.93175,0.99061,1.06475,0.5832
2024-10-07,6.49937,0.66958,1.02348,1.13125,0.5083
2024-10-08,5.93909,0.78652,0.96462,1.09533,0.6497
2024-10-09,6.03922,0.98679,0.99672,1.03494,0.75366
2024-10-10,5.99871,0.80563,1.0273,1.14195,0.60766
2024-10-11,5.47742,0.74372,0.96768,1.13889,0.60002
2024-10-12,5.78469,0.93405,0.9478,1.03036,0.76054
2024-10-13,6.77683,0.96538,1.02042,1.0938,0.62907
2024-10-14,6.15464,0.74219,1.06246,1.2375,0.62677
2024-10-15,5.81297,0.77353,1.00972,1.27724,0.60613
2024-10-16,5.68303,0.8041,1.06475,1.27877,0.64741
2024-10-17,5.49652,0.80716,1.08157,1.32234,0.59926
2024-10-18,5.35818,0.80563,0.94704,1.24285,0.61836
2024-10-19,5.37499,0.96615,1.0273,1.19852,0.69021
2024-10-20,5.36582,0.95621,1.03341,1.15189,0.64435
2024-10-21,4.85828,0.73225,1.0724,1.33992,0.53428
2024-10-22,5.14874,0.69251,1.03265,1.31776,0.53123
2024-10-23,4.87281,0.80793,1.09533,1.24514,0.53123
2024-10-24,4.82389,0.78805,1.06093,1.31623,0.5404
2024-10-25,4.431,0.84003,1.07469,1.3017,0.55034
2024-10-26,4.62133,1.07927,1.08539,1.17941,0.56486
2024-10-27,5.21218,1.12514,1.15571,1.26349,0.58855
2024-10-28,5.76405,0.78652,1.08157,1.25661,0.51976
2024-10-29,5.05625,0.83315,1.14042,1.27724,0.49377
